Distrito,Jurisdiccion,Competencia,Nombre_Despacho,Funcionario,Meses_Reportados,Ing_Efect_Anuales,Prom_Men_Ing_Efect,Egresos_Efect_Anuales,Prom_Men_Egreso_Efect,Inv_Final_Anual,PromMen_ProcIng,PromMen_TutImpugIngr,PromMen_AccionesConstIngr,PromMen_ProcEgr,PromMen_TutImpugEgr,PromMen_AccionesConstEgr
Antioquia,Municipal,Antioquia/Municipal,Juzgado 002 Civil Municipal de Rionegro,MARIA INES  CARDONA  MAZO,12,1175,97.9166666666667,892,74.3333333333333,775,56.75,41.0833333333333,0.0833333333333333,34.4166666666667,39.9166666666667,0
Antioquia,Municipal,Antioquia/Municipal,Juzgado 001 Civil Municipal de Rionegro,JENNY QUIROS  VASQUEZ,12,1081,90.0833333333333,818,68.1666666666667,627,53.6666666666667,36.4166666666667,0,31.5,36.6666666666667,0
Armenia,Municipal,Armenia/Municipal,Juzgado 004 Civil Municipal de Armenia,LUIS CARLOS VILLAREAL RODRIGUEZ,12,926,77.1666666666667,872,72.6666666666667,322,57.25,19.75,0.166666666666667,54,18.5,0.166666666666667
Armenia,Municipal,Armenia/Municipal,Juzgado 009 Civil Municipal de Armenia,JOSE MAURICIO  MENESES BOLAÑOS,12,798,66.5,771,64.25,235,46.3333333333333,20.0833333333333,0.0833333333333333,44.5,19.6666666666667,0.0833333333333333
Armenia,Municipal,Armenia/Municipal,Juzgado 003 Civil Municipal de Armenia,KAREN YARY CARO  MALDONADO,12,842,70.1666666666667,648,54,436,50.4166666666667,19.75,0,34.75,19.25,0
Armenia,Municipal,Armenia/Municipal,Juzgado 001 Civil Municipal de Armenia,ABEL DARIO GONZALEZ,12,767,63.9166666666667,629,52.4166666666667,558,43.5833333333333,20.25,0.0833333333333333,31.5833333333333,20.75,0.0833333333333333
Armenia,Municipal,Armenia/Municipal,Juzgado 008 Civil Municipal de Armenia,JORGE IVAN  HOYOS  HURTADO,12,761,63.4166666666667,601,50.0833333333333,288,43.6666666666667,19.6666666666667,0.0833333333333333,32.25,17.75,0.0833333333333333
Armenia,Municipal,Armenia/Municipal,Juzgado 006 Civil Municipal de Armenia,LUZ STELLA ARIAS  PALACIO,12,913,76.0833333333333,567,47.25,296,52.4166666666667,23.6666666666667,0,27.1666666666667,20.0833333333333,0
Armenia,Municipal,Armenia/Municipal,Juzgado 005 Civil Municipal de Armenia,MARÍA DEL PILAR VARGAS MALAVER,12,779,64.9166666666667,546,45.5,537,45.0833333333333,19.8333333333333,0,25.5,20,0
Armenia,Municipal,Armenia/Municipal,Juzgado 007 Civil Municipal de Armenia,CAROLINA HURTADO  GUTIERREZ,12,844,70.3333333333333,528,44,992,52.5,17.8333333333333,0,25.9166666666667,18,0.0833333333333333
Armenia,Municipal,Armenia/Municipal,Juzgado 002 Civil Municipal de Armenia,SERGIO RAUL CARDOSO GONZALEZ,11,725,65.9090909090909,518,47.0909090909091,326,45.5454545454546,20.3636363636364,0,27.5454545454545,19.5454545454546,0
Armenia,Municipal,Armenia/Municipal,Juzgado 001 Civil Municipal de Calarcá,HERNÁN  CARVAJAL  GALLEGO,12,529,44.0833333333333,351,29.25,230,31.25,12.8333333333333,0,17.9166666666667,11.3333333333333,0
Armenia,Municipal,Armenia/Municipal,Juzgado 002 Civil Municipal de Calarcá,GERMAN DUQUE NARANJO,12,509,42.4166666666667,313,26.0833333333333,324,29.1666666666667,13.25,0,15.5833333333333,10.5,0
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 004 Civil Municipal de Barranquilla,YUSMEL DEL SOCORRO RUBIO  LICONA,12,1015,84.5833333333333,1038,86.5,473,65.75,18.75,0.0833333333333333,71.4166666666667,15,0.0833333333333333
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 012 Civil Municipal de Barranquilla,CARLOS ARTURO   TARAZONA LORA,12,1138,94.8333333333333,909,75.75,379,78.5,16.0833333333333,0.25,58,17.5,0.25
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 011 Civil Municipal de Barranquilla,JANINE CAMARGO VASQUEZ,12,863,71.9166666666667,813,67.75,863,54.3333333333333,17.4166666666667,0.166666666666667,52.3333333333333,15.4166666666667,0
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 014 Civil Municipal de Barranquilla,CARMEN BEATRIZ  BARROS  LEMUS,12,967,80.5833333333333,774,64.5,558,63.9166666666667,16.5,0.166666666666667,47.4166666666667,16.9166666666667,0.166666666666667
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 007 Civil Municipal de Barranquilla,DILMA ESTELA  CHEDRAUI  RANGEL,12,1012,84.3333333333333,686,57.1666666666667,506,67.0833333333333,16.9166666666667,0.333333333333333,41.1666666666667,15.8333333333333,0.166666666666667
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 006 Civil Municipal de Barranquilla,MARTHA DEL SOCORRO MORÉ OLIVARES,12,982,81.8333333333333,673,56.0833333333333,492,64.8333333333333,16.8333333333333,0.166666666666667,39.8333333333333,16.0833333333333,0.166666666666667
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 005 Civil Municipal de Barranquilla,ALEX DE JESUS  DEL VILLAR  DELGADO,12,1057,88.0833333333334,668,55.6666666666667,237,70.5833333333333,17.3333333333333,0.166666666666667,39.6666666666667,15.8333333333333,0.166666666666667
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 003 Civil Municipal de Soledad,DIANA CECILIA CASTAÑEDA  SANJUAN,12,388,32.3333333333333,655,54.5833333333333,303,21.8333333333333,10.5,0,44.25,10.3333333333333,0
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 002 Civil Municipal de Barranquilla,JOSE DE JESÚS  GOENAGA  GIACOMETTO,12,848,70.6666666666667,640,53.3333333333333,808,53.3333333333333,17.1666666666667,0.166666666666667,37.25,15.8333333333333,0.25
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 015 Civil Municipal de Barranquilla,NAZLI PAOLA PONTÓN  LOZANO,12,948,79,637,53.0833333333333,667,61.9166666666667,16.9166666666667,0.166666666666667,38.5,14.4166666666667,0.166666666666667
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 002 Civil Municipal de Soledad,HERNANDO  ESTRADA PEÑA,12,391,32.5833333333333,613,51.0833333333333,776,20.8333333333333,11.75,0,43.9166666666667,7.16666666666667,0
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 013 Civil Municipal de Barranquilla,ROSA ALICIA BARRERA LUQUE,12,975,81.25,611,50.9166666666667,257,63.5833333333333,17.3333333333333,0.333333333333333,33.3333333333333,17.25,0.333333333333333
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 003 Civil Municipal de Barranquilla,LUISA ISABEL GUTIERREZ CORRO,12,955,79.5833333333333,602,50.1666666666667,375,62.25,17.25,0.0833333333333333,34.75,15.3333333333333,0.0833333333333333
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 009 Civil Municipal de Barranquilla,ALFONSO  GONZALEZ PONTON,12,961,80.0833333333333,590,49.1666666666667,382,62.6666666666667,17.25,0.166666666666667,32.9166666666667,16.0833333333333,0.166666666666667
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 008 Civil Municipal de Barranquilla,JAIRO ALBERTO FANDIÑO  VASQUEZ,9,1008,112,581,64.5555555555556,448,85.6666666666667,26.3333333333333,0,41.7777777777778,22.7777777777778,0
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 010 Civil Municipal de Barranquilla,MONICA PATRICIA VALVERDE  SOLANO,9,630,70,521,57.8888888888889,317,50.4444444444444,18.4444444444444,1.11111111111111,40,17.4444444444444,0.444444444444444
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 004 Civil Municipal de Soledad,ANGELA INES PANTOJA POLO,12,369,30.75,501,41.75,1242,20,10.75,0,31.5,10.25,0
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 001 Civil Municipal de Barranquilla,KATHERINE IVON MENDOZA NIEBLES,7,510,72.8571428571429,499,71.2857142857143,697,57.7142857142857,15,0.142857142857143,56.8571428571429,14.2857142857143,0.142857142857143
Barranquilla,Municipal,Barranquilla/Municipal,Juzgado 001 Civil Municipal de Soledad,ZAHIRA VANESSA RAISH  MALO,12,393,32.75,200,16.6666666666667,128,20.8333333333333,11.8333333333333,0.0833333333333333,6,10.5833333333333,0.0833333333333333
Bogotá,Municipal,Bogotá/Municipal,Juzgado 011 Civil Municipal de Bogotá,BLANCA LIZETTE FERNANDEZ GOMEZ,12,1518,126.5,1622,135.166666666667,881,104.583333333333,21.9166666666667,0,113.5,21.6666666666667,0
Bogotá,Municipal,Bogotá/Municipal,Juzgado 036 Civil Municipal de Bogotá,EDITH CONSTANZA LOZANO LINARES,12,1302,108.5,1322,110.166666666667,404,85.25,23.1666666666667,0.0833333333333333,87.6666666666667,22.4166666666667,0.0833333333333333
Bogotá,Municipal,Bogotá/Municipal,Juzgado 032 Civil Municipal de Bogotá,NIDYA ESMERALDA  SANCHEZ  CAPACHO,12,1208,100.666666666667,1300,108.333333333333,671,78.3333333333333,22.25,0.0833333333333333,86.8333333333333,21.4166666666667,0.0833333333333333
